Case Study,Account URL,Account Name
Exploiting moderation absence in thematic groups,https://www.facebook[.]com/groups/839387703161112,Nigeria Breaking News Headlines
Exploiting moderation absence in thematic groups,https://www.facebook[.]com/groups/1882777175367903,AMASASE na AMACHUMA a NYAMIRA!
Exploiting moderation absence in thematic groups,https://www.facebook[.]com/groups/604107960149396,SONS AND DAUGHTERS OF SNR PROPHET JEREMIAH OMOTO FUFEYIN.
Exploiting moderation absence in thematic groups,https://www.facebook[.]com/groups/1676325422853480,💙💜 sensible🥰🥺
Exploiting moderation absence in thematic groups,https://www.facebook[.]com/groups/1256595954511320,"KOLO , THABANA MORENA, THABANA MAHLANYA, SEMONKONG,BOCHABELA"
Exploiting moderation absence in thematic groups,https://www.facebook[.]com/groups/2271070633143371,"LEROY MNISI's Lil Tjay, Lil Baby, Lil Durk, Polo G (Lil Capalot) & GloRilla"
Exploiting moderation absence in thematic groups,https://www.facebook[.]com/groups/1940595972954771,RARIYA
Exploiting moderation absence in thematic groups,https://www.facebook[.]com/groups/657348626434837,Gidan masoya annabi s a w
Exploiting moderation absence in thematic groups,https://www.facebook[.]com/groups/1061229028399591,KILEL JAZZ killer boy maganica ��
Exploiting moderation absence in thematic groups,https://www.facebook[.]com/groups/809626363580920,New memes kenya
Exploiting moderation absence in thematic groups,https://www.facebook[.]com/groups/611032677807876,Papa T Wuod Nyarong'o Fans Group
Exploiting moderation absence in thematic groups,https://www.facebook[.]com/groups/884251743030248,Purple speedy��fanbase�
Exploiting moderation absence in thematic groups,https://www.facebook[.]com/groups/1688373078052180,JWANENG COMMUNITY
Exploiting moderation absence in thematic groups,https://www.facebook[.]com/groups/732496263795592,Kwa Thema online 1575...
Exploiting moderation absence in thematic groups,https://www.facebook[.]com/groups/531393310715777,Msinga Comedians 0
Exploiting moderation absence in thematic groups,https://www.facebook[.]com/groups/2784343128254983,MASOYA HADIZA GABON
Exploiting moderation absence in thematic groups,https://www.facebook[.]com/groups/4280165628724955,Actualités Sportives 224
Exploiting moderation absence in thematic groups,https://www.facebook[.]com/groups/603138577079127,Selena Gomez
Exploiting moderation absence in thematic groups,https://www.facebook[.]com/groups/853783876170912,Évangéliste Nj_joseph
Exploiting moderation absence in thematic groups,https://www.facebook[.]com/groups/160572256023769,🥺🥰❤️>👩‍❤️‍👨MY BABE👩‍❤️‍👨<🥺🥰❤️
Exploiting moderation absence in thematic groups,https://www.facebook[.]com/groups/210132106993573,"Scandal, Generations​, Diep City, Skeem Sam, Muvhango"
Exploiting moderation absence in thematic groups,https://www.facebook[.]com/groups/602556026451114,NG'OMBE COMPOUND NEWS
Exploiting moderation absence in thematic groups,https://www.facebook[.]com/groups/2810982475685917,MANSA OUR HOME TOWN
Exploiting moderation absence in thematic groups,https://www.facebook[.]com/groups/1128396864714282,INFOS 📺RIRE 🤣ET DÉTENTE  🤳
Exploiting moderation absence in thematic groups,https://www.facebook[.]com/groups/2890792931027355,Portable Fans Group
Exploiting moderation absence in thematic groups,https://www.facebook[.]com/groups/490068034892510,tu veux rire non vient on va rire 😂😂😂
Exploiting moderation absence in thematic groups,https://www.facebook[.]com/groups/326966188134262,AYV Housemates Salone Fanzone season 2
Exploiting moderation absence in thematic groups,https://www.facebook[.]com/groups/453120529295931,Amapiano 2023
Exploiting moderation absence in thematic groups,https://www.facebook[.]com/groups/351019682632777,Un pays de pagaille 🇧🇯
Exploiting moderation absence in thematic groups,https://www.facebook[.]com/groups/331215304901012,SONS AND DAUGHTERS OF SNR PROPHET JEREMIAH OMOTO FUFEYIN.
Exploiting moderation absence in thematic groups,https://www.facebook[.]com/groups/397060835628032,SA youth application 2024/2024
Exploiting moderation absence in thematic groups,https://www.facebook[.]com/groups/269009223932808,Willy paul official����
Exploiting moderation absence in thematic groups,https://www.facebook[.]com/groups/5941936619153446,Gogrial Zoom Photography funs
Exploiting moderation absence in thematic groups,https://www.facebook[.]com/groups/1411334109478227,Phil Foden and Jeremy doku
